Model,MAE_kW,RMSE_kW,R2
XGBoost - Daylight Only,0.0312066058422378,0.04626737642780236,0.9649511491278977
Random Forest - Daylight Only,0.030842004156546973,0.04811697685538206,0.9620928876400315
LSTM - Daylight Only,0.06656867271874528,0.09891722795262636,0.8403478276078755
CNN-LSTM - Daylight Only,0.10742475474862458,0.13251727357802315,0.7134661454557256
CNN - Daylight Only,0.13565664515665854,0.15830769067297104,0.5910831702077919
Persistence Baseline - Daylight Only,0.12726396316872038,0.16061708150576892,0.5767418051914357
